sepal_length,sepal_width,petal_length,petal_width,species,species_encoded,sepal_area,petal_area,sepal_petal_ratio
5.1,3.5,1.4,0.2,setosa,0,17.849999999999998,0.27999999999999997,3.642854540818185
4.9,3.0,1.4,0.2,setosa,0,14.700000000000001,0.27999999999999997,3.499997500001786
4.7,3.2,1.3,0.2,setosa,0,15.040000000000001,0.26,3.615381834321666
4.6,3.1,1.5,0.2,setosa,0,14.26,0.30000000000000004,3.066664622223585
5.0,3.6,1.4,0.2,setosa,0,18.0,0.27999999999999997,3.571426020409986
5.4,3.9,1.7,0.4,setosa,0,21.060000000000002,0.68,3.176468719724283
4.6,3.4,1.4,0.3,setosa,0,15.639999999999999,0.42,3.2857119387771867
5.0,3.4,1.5,0.2,setosa,0,17.0,0.30000000000000004,3.3333311111125927
4.4,2.9,1.4,0.2,setosa,0,12.76,0.27999999999999997,3.1428548979607878
4.9,3.1,1.5,0.1,setosa,0,15.190000000000001,0.15000000000000002,3.266664488890341
5.4,3.7,1.5,0.2,setosa,0,19.980000000000004,0.30000000000000004,3.5999976000016005
4.8,3.4,1.6,0.2,setosa,0,16.32,0.32000000000000006,2.999998125001172
4.8,3.0,1.4,0.1,setosa,0,14.399999999999999,0.13999999999999999,3.428568979593586
4.3,3.0,1.1,0.1,setosa,0,12.899999999999999,0.11000000000000001,3.909087355375131
5.8,4.0,1.2,0.2,setosa,0,23.2,0.24,4.833329305558912
5.7,4.4,1.5,0.4,setosa,0,25.080000000000002,0.6000000000000001,3.799997466668356
5.4,3.9,1.3,0.4,setosa,0,21.060000000000002,0.52,4.15384295858234
5.1,3.5,1.4,0.3,setosa,0,17.849999999999998,0.42,3.642854540818185
5.7,3.8,1.7,0.3,setosa,0,21.66,0.51,3.35293920415341
5.1,3.8,1.5,0.3,setosa,0,19.38,0.44999999999999996,3.3999977333348443
5.4,3.4,1.7,0.2,setosa,0,18.36,0.34,3.176468719724283
5.1,3.7,1.5,0.4,setosa,0,18.87,0.6000000000000001,3.3999977333348443
4.6,3.6,1.0,0.2,setosa,0,16.56,0.2,4.5999954000046
5.1,3.3,1.7,0.5,setosa,0,16.83,0.85,2.9999982352951555
4.8,3.4,1.9,0.2,setosa,0,16.32,0.38,2.526314459834495
5.0,3.0,1.6,0.2,setosa,0,15.0,0.32000000000000006,3.124998046876221
5.0,3.4,1.6,0.4,setosa,0,17.0,0.6400000000000001,3.124998046876221
5.2,3.5,1.5,0.2,setosa,0,18.2,0.30000000000000004,3.4666643555570964
5.2,3.4,1.4,0.2,setosa,0,17.68,0.27999999999999997,3.7142830612263853
4.7,3.2,1.6,0.2,setosa,0,15.040000000000001,0.32000000000000006,2.9374981640636477
4.8,3.1,1.6,0.2,setosa,0,14.879999999999999,0.32000000000000006,2.999998125001172
5.4,3.4,1.5,0.4,setosa,0,18.36,0.6000000000000001,3.5999976000016005
5.2,4.1,1.5,0.1,setosa,0,21.32,0.15000000000000002,3.4666643555570964
5.5,4.2,1.4,0.2,setosa,0,23.1,0.27999999999999997,3.9285686224509844
4.9,3.1,1.5,0.2,setosa,0,15.190000000000001,0.30000000000000004,3.266664488890341
5.0,3.2,1.2,0.2,setosa,0,16.0,0.24,4.166663194447338
5.5,3.5,1.3,0.2,setosa,0,19.25,0.26,4.230765976333864
4.9,3.6,1.4,0.1,setosa,0,17.64,0.13999999999999999,3.499997500001786
4.4,3.0,1.3,0.2,setosa,0,13.200000000000001,0.26,3.384612781067092
5.1,3.4,1.5,0.2,setosa,0,17.34,0.30000000000000004,3.3999977333348443
5.0,3.5,1.3,0.3,setosa,0,17.5,0.39,3.8461508875762402
4.5,2.3,1.3,0.3,setosa,0,10.35,0.39,3.4615357988186166
4.4,3.2,1.3,0.2,setosa,0,14.080000000000002,0.26,3.384612781067092
